trade_id,timestamp_utc,ticker,side,order_qty,insider_date,insider_name,estimated_entry_price,take_profit_price,stop_loss_price,alpaca_order_id,status,exit_reason
2025-07-31-NCMI-sell-45000,2025-08-01T10:43:22.388989,NCMI,sell,2,2025-07-31,"Lesinski, Thomas F.",4.82,4.34,5.3,3cebc184-255c-4d61-84c4-584b2de49144,pending_new,
2025-07-29-AIP-sell-29544,2025-08-01T10:43:24.880982,AIP,sell,1,2025-07-29,RAZA SAIYED ATIQ,9.87,8.88,10.86,a2de3d11-1b98-407e-9888-5cfb50d9e63d,pending_new,
2025-07-29-SHEN-buy-19852,2025-08-01T10:43:27.127434,SHEN,buy,0.793,2025-07-29,"ECP ControlCo, LLC",14.66,16.13,13.19,4252ade2-8ad9-4512-b0c5-2cce797181c6,accepted,
2025-07-29-CIFR-sell-66049,2025-08-01T10:43:29.752684,CIFR,sell,2,2025-07-29,V3 Holding Ltd,5.45,4.91,6.0,5968b1c3-5bb3-473b-bb2f-fa0ad906b547,pending_new,
2025-07-31-SVV-sell-2637,2025-08-01T10:43:32.239684,SVV,sell,1,2025-07-31,Medway Richard A.,10.395,9.36,11.43,e980ee14-623f-4b61-a24b-6cb77f87abcd,pending_new,
2025-07-29-MMC-buy-500,2025-08-01T10:43:36.513287,MMC,buy,0.0584,2025-07-29,Anderson Anthony,199.21,219.13,179.29,41ae8f8f-6f96-4eb0-9b73-e2fbadf30121,accepted,
2025-07-31-UDMY-sell-10000,2025-08-01T10:43:38.764639,UDMY,sell,1,2025-07-31,EREN BALI,7.62,6.86,8.38,ca0a55a1-c1c7-4a1a-ad7f-1685662c910d,pending_new,
2025-07-31-CHTR-buy-3670,2025-08-01T10:43:42.433641,CHTR,buy,0.0432,2025-07-31,Winfrey Christopher L,269.385,296.32,242.45,ff980a48-52f2-4d40-9c89-0b01e0ec7e6d,accepted,
2025-07-29-CXM-sell-1435,2025-08-01T10:43:45.035640,CXM,sell,1,2025-07-29,Thomas Ragy,9.005,8.1,9.91,2f1bcbe6-fd54-4595-acc5-9d842f104f6a,pending_new,
2025-07-30-OMCC-buy-350,2025-08-01T10:43:48.623802,OMCC,buy,2,2025-07-30,Krebs Charles,5.71,6.28,5.14,18356442-3369-4775-a701-35e48e2212d7,pending_new,
2025-07-31-WNEB-sell-4000,2025-08-01T10:43:51.302812,WNEB,sell,1,2025-07-31,Smith Philip R,10.64,9.58,11.7,4f3e4574-7b7f-45e3-a286-e06a17e84eb5,pending_new,
2025-08-01-RELL-sell-10253,2025-08-01T12:29:36.759735,RELL,sell,1,2025-08-01,MCNALLY KATHLEEN,10.2,9.18,11.22,89cbf025-58f4-4bdb-9789-16ef28d62424,pending_new,
2025-07-31-PEBO-buy-200,2025-08-01T13:14:57.613354,PEBO,buy,0.407,2025-07-31,SKINNER FRANCES A,28.565,31.42,25.71,a0b57015-a4c6-4397-9716-c834df5b8345,accepted,
